account_name,account_type,industry,city,country,website,main_phone,owner,status,notes
Advanced industrial model Company AIM,Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Barq Al Mostaqbal Co.,Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Service on Biffi actuator,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Abdullah Lardhi,Active,Migrated from pipeline; Inferred from End User
EISENMANN SAUDI ARABIA Industrial,Prospect / Customer,Materials,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Tepco,Prospect / Customer,Materials,,Saudi Arabia,,,Abdullah Lardhi,Active,Migrated from pipeline; Inferred from End User
REQ - 910 | Ultrasonic Flowmeter | 02 Nos,Prospect / Customer,Petrochemical,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Inferred from End User
Ash Sharqiyah Operation and Maintenance Co. LLC,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Shedgum Gas Compression Pipeline - Package-3,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Abdullah Lardhi,Active,Migrated from pipeline; Inferred from End User
AL MEER,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Eman Future Trading Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Ahmed Al Bojbarah,Active,Migrated from pipeline; Inferred from End User
Fixed Gas Detector,Prospect / Customer,Chemical,,Saudi Arabia,,,Abdullah Lardhi,Active,Migrated from pipeline; Inferred from End User
Royal commissiong,Prospect / Customer,Materials,,Saudi Arabia,,,Abdullah Lardhi,Active,Migrated from pipeline; Inferred from End User
sa7733mt25,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Abdullah Lardhi,Active,Migrated from pipeline; Inferred from End User
SABIC- Ibn zahr,Prospect / Customer,Petrochemical,,Saudi Arabia,,,,Active,Migrated from pipeline; Inferred from End User
Saudi Water Partner Company (SWPC),Prospect / Customer,Power & Water,,Saudi Arabia,,,Ahmed Al Bojbarah,Active,Migrated from pipeline; Inferred from End User
SABIC,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Al Manhal Waters Factory Company,Prospect / Customer,Food & Beverage,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Gulf Cryo Saudi for Industrial & Medical Gases Company,Prospect / Customer,Materials,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Inferred from End User
Allamaa Factory,Prospect / Customer,Materials,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
SEC-ARAR-RAFHA-AL JOUF PP,Prospect / Customer,Power & Water,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Inferred from End User
Saudi Iron & Steel company (Hadeed),Prospect / Customer,Petrochemical,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Aramco Karan,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Khalid Al Sayari,Active,Migrated from pipeline; Inferred from End User
Aramco Khurais,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Abdullah Lardhi,Active,Migrated from pipeline; Inferred from End User
SHINE COPMANY LTD,Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Al Yamama Company,Prospect / Customer,Materials,,Saudi Arabia,,,Ahmed Al Bojbarah,Active,Migrated from pipeline; Inferred from End User
Saudi Aramco,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Ahmed Al Bojbarah,Active,Migrated from pipeline; Inferred from End User
Saudi Tabreed Operation And Maintenance Company (STOM),Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Nesma Partners Contracting Co.,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Industrial Chemicals & Resins Co.,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Al-Dossary Macaroni Factory,Prospect / Customer,Food & Beverage,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
ARASCO,Prospect / Customer,Materials,,Saudi Arabia,,,Ahmed Al Bojbarah,Active,Migrated from pipeline; Inferred from End User
5500693009,Prospect / Customer,Petrochemical,,Saudi Arabia,,,Abdullah Lardhi,Active,Migrated from pipeline; Inferred from End User
Marafiq Yanbu,Prospect / Customer,Power & Water,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Inferred from End User
WATER TRANSMISSION COMPANY,Prospect / Customer,Power & Water,,Saudi Arabia,,,Abdullah Lardhi,Active,Migrated from pipeline; Inferred from End User
FOOD TECH FOR INDUSTRIES,Prospect / Customer,Food & Beverage,,Saudi Arabia,,,Abdullah Lardhi,Active,Migrated from pipeline; Inferred from End User
